condition,class_id,class_name,precision,recall,mAP50,mAP50_95,precision_drop,recall_drop,mAP50_drop,mAP50_95_drop
jpeg_compression_medium,2,moderate_caries,0.3313621867865294,0.3448275862068966,0.2603704254414677,0.15586773596662226,0.008481205838352823,-0.022988505747126464,0.00469575344839418,0.001615852483237784
jpeg_compression_medium,3,severe_caries,0.6774551499113911,0.7539924137532183,0.7600533277218545,0.4647928607557491,0.017960101473616374,-0.0360436958045004,-0.00412721222514334,-0.0005079970175308479
jpeg_compression_severe,all,all,0.5682670597534581,0.6722318186240861,0.6196875917267785,0.381058963720167,0.0017697645635078585,-0.011846778156578641,-0.0015404360282543772,0.0012886698964827414
jpeg_compression_severe,0,no_caries,0.7246295600384617,0.9478851684414854,0.88276694273309,0.539892639442435,0.012121537283208306,-0.017214482684138055,0.003094917023964139,0.002909802086637603
jpeg_compression_severe,1,mild_caries,0.5131355033053077,0.6630880437480541,0.5625516042393509,0.3607194553956933,-0.004997947369003497,0.007993633956140167,0.003182864411118369,0.004100185353754837
jpeg_compression_severe,2,moderate_caries,0.3674205374487197,0.34718483153757435,0.2867669109201381,0.17550180693516598,-0.027577144823837496,-0.025345751077804235,-0.021700732030276226,-0.018018218485305937
jpeg_compression_severe,3,severe_caries,0.6678826382213435,0.7307692307692307,0.7466649090145346,0.44812195310737357,0.027532613163663955,-0.012820512820512775,0.009261206482176543,0.016162910630844685
low_light_mild,all,all,0.5780660596155145,0.6549590984963283,0.6201566291124267,0.38549242121364236,-0.008029235298548487,0.005425941971179182,-0.0020094734139026738,-0.0031447875969926042
low_light_mild,0,no_caries,0.7430586870912689,0.9284099472494348,0.8887944199815488,0.5464424219315321,-0.006307589769598887,0.0022607385079125297,-0.002932560224494729,-0.0036399804024594973
low_light_mild,1,mild_caries,0.5231880631195431,0.6644591611479028,0.5699627970029207,0.3668175730571504,-0.01505050718323897,0.0066225165562914245,-0.00422832835245146,-0.001997932307702288
low_light_mild,2,moderate_caries,0.36302425730005683,0.3218390804597701,0.26524555846708947,0.1599210004177061,-0.023180864675174606,0.0,-0.00017937957722757858,-0.0024374119678460537
low_light_mild,3,severe_caries,0.6829932309511895,0.7051282051282052,0.7566237409981481,0.46878868944818075,0.012422020433818015,0.012820512820512775,-0.000697625501436927,-0.0045038257099624945
low_light_medium,all,all,0.5574464138747373,0.6849377247810505,0.612944165333789,0.3808556440800693,0.01259041044222875,-0.02455268431354307,0.005202990364735038,0.0014919895365804736
low_light_medium,0,no_caries,0.7323372421833128,0.9360695762604178,0.8838295711335455,0.5458172845481359,0.004413855138357237,-0.005398890503070408,0.0020322886235085713,-0.0030148430190632958
low_light_medium,1,mild_caries,0.5223841196669401,0.6909492273730684,0.5591226564472772,0.35890743545084347,-0.01424656373063593,-0.019867549668874163,0.006611812203192069,0.005912205298604645
low_light_medium,2,moderate_caries,0.3218791534223227,0.3563218390804598,0.2625706682603772,0.15828633503170714,0.017964239202559518,-0.03448275862068967,0.002495510629484665,-0.0008027465818470914
low_light_medium,3,severe_caries,0.6531851402263733,0.7564102564102564,0.7462537654939563,0.46041152128959045,0.042230111158634176,-0.038461538461538436,0.009672350002754904,0.0038733424486278034
low_light_severe,all,all,0.508706252732169,0.6525630646223028,0.5885785359763165,0.3646182193384866,0.061330571584797045,0.00782197584520461,0.02956861972220759,0.017729414278163158
low_light_severe,0,no_caries,0.7271118565972076,0.9253956292388847,0.8654764196350991,0.5313428689526967,0.009639240724462428,0.005275056518462606,0.02038544012195498,0.011459572576375976
low_light_severe,1,mild_caries,0.4911852153741486,0.6181015452538632,0.5411631116780002,0.3462631162674006,0.016952340562155555,0.05298013245033106,0.02457135697246904,0.01855652448204753
low_light_severe,2,moderate_caries,0.22430583792590625,0.3103448275862069,0.2525628927571821,0.15807198103319176,0.11553755469897597,0.011494252873563204,0.012503286132679814,-0.0005883925833317094
low_light_severe,3,severe_caries,0.5922221010314135,0.7564102564102564,0.6951117198349842,0.4227949111006574,0.103193150353594,-0.038461538461538436,0.06081439566172697,0.041489952637560834
motion_blur_mild,all,all,0.5541678397244193,0.6810646321872399,0.6207886881907397,0.38447152819905794,0.01586898459254671,-0.020679591719732437,-0.002641532492215659,-0.0021238945824081923
motion_blur_mild,0,no_caries,0.732090461612514,0.9397136397889977,0.8871791091134604,0.542348501743481,0.00466063570915598,-0.009042954031650341,-0.0013172493564063137,0.0004539397855916061
motion_blur_mild,1,mild_caries,0.5107748691407475,0.7130242825607064,0.5697826697223244,0.3682196453715128,-0.002637313204443381,-0.04194260485651213,-0.0040482010718551065,-0.0034000046220646896
motion_blur_mild,2,moderate_caries,0.3199694120883785,0.34075137563002483,0.2660298861812077,0.16379660401249965,0.019873980536503744,-0.018912295170254723,-0.0009637072913458167,-0.006313015562639607
motion_blur_mild,3,severe_caries,0.6538366160560373,0.7307692307692307,0.7601630877459664,0.4635213616687383,0.041578635328970215,-0.012820512820512775,-0.004236972249255233,0.0007635020694799488
motion_blur_medium,all,all,0.5546689282095506,0.6772634551028669,0.617735426530894,0.3837567565583317,0.015367896107415402,-0.01687841463535944,0.0004117291676301038,-0.0014091229416819395
motion_blur_medium,0,no_caries,0.733052910268163,0.9415657581097565,0.885739261260273,0.5421495938307067,0.003698187053506996,-0.010895072352409163,0.00012259849678109003,0.0006528476983659326
motion_blur_medium,1,mild_caries,0.5117870504293168,0.6909492273730684,0.5643088119344462,0.36377188791781406,-0.0036494944930126616,-0.019867549668874163,0.001425656716023127,0.0010477528316340523
motion_blur_medium,2,moderate_caries,0.3107602583411249,0.3448275862068966,0.2585380973615476,0.1613266706003101,0.029083134283757306,-0.022988505747126464,0.0065280815283143,-0.0038430821504500667
motion_blur_medium,3,severe_caries,0.6630754937995976,0.7317112487217462,0.762355535567309,0.467778873884496,0.032339757585409856,-0.013762530773028248,-0.006429420070597769,-0.0034940101462777595
